n	100
c	1	13
c	2	20
c	3	14
c	4	11
c	5	10
c	6	18
c	7	15
c	8	11
c	9	13
c	10	17
c	11	17
c	12	15
c	13	19
c	14	11
c	15	12
c	16	14
c	17	20
c	18	17
c	19	16
c	20	18
c	21	12
c	22	11
c	23	17
c	24	14
c	25	17
c	26	20
c	27	15
c	28	11
c	29	16
c	30	12
c	31	14
c	32	10
c	33	17
c	34	19
c	35	11
c	36	12
c	37	19
c	38	18
c	39	18
c	40	13
c	41	17
c	42	20
c	43	20
c	44	10
c	45	17
c	46	14
c	47	13
c	48	11
c	49	11
c	50	19
c	51	13
c	52	12
c	53	14
c	54	19
c	55	14
c	56	17
c	57	20
c	58	17
c	59	20
c	60	10
c	61	19
c	62	14
c	63	13
c	64	18
c	65	16
c	66	19
c	67	14
c	68	13
c	69	11
c	70	19
c	71	13
c	72	19
c	73	20
c	74	14
c	75	20
c	76	19
c	77	12
c	78	10
c	79	13
c	80	14
c	81	18
c	82	19
c	83	20
c	84	14
c	85	19
c	86	10
c	87	15
c	88	10
c	89	14
c	90	11
c	91	11
c	92	16
c	93	20
c	94	10
c	95	17
c	96	16
c	97	19
c	98	19
c	99	20
c	100	14
d	1	126
d	2	170
d	3	127
d	4	123
d	5	166
d	6	123
d	7	121
d	8	200
d	9	112
d	10	108
d	11	102
d	12	140
d	13	150
d	14	166
d	15	142
d	16	128
d	17	115
d	18	195
d	19	160
d	20	163
d	21	194
d	22	155
d	23	169
d	24	175
d	25	150
d	26	168
d	27	178
d	28	127
d	29	142
d	30	161
d	31	198
d	32	124
d	33	139
d	34	194
d	35	159
d	36	138
d	37	128
d	38	145
d	39	178
d	40	143
d	41	124
d	42	195
d	43	198
d	44	159
d	45	181
d	46	108
d	47	167
d	48	183
d	49	155
d	50	145
d	51	135
d	52	193
d	53	158
d	54	137
d	55	162
d	56	167
d	57	193
d	58	100
d	59	166
d	60	120
d	61	180
d	62	127
d	63	172
d	64	162
d	65	156
d	66	190
d	67	175
d	68	198
d	69	183
d	70	138
d	71	184
d	72	188
d	73	157
d	74	198
d	75	199
d	76	149
d	77	183
d	78	108
d	79	121
d	80	179
d	81	122
d	82	142
d	83	184
d	84	168
d	85	169
d	86	167
d	87	200
d	88	154
d	89	188
d	90	111
d	91	134
d	92	196
d	93	119
d	94	103
d	95	189
d	96	112
d	97	129
d	98	134
d	99	118
d	100	102
s	1	9
s	2	5
s	3	5
s	4	2
s	5	3
s	6	4
s	7	9
s	8	1
s	9	3
s	10	5
s	11	10
s	12	1
s	13	10
s	14	6
s	15	8
s	16	10
s	17	2
s	18	7
s	19	8
s	20	1
s	21	3
s	22	7
s	23	6
s	24	6
s	25	5
s	26	9
s	27	8
s	28	1
s	29	10
s	30	3
s	31	3
s	32	3
s	33	9
s	34	4
s	35	10
s	36	9
s	37	10
s	38	4
s	39	9
s	40	3
s	41	8
s	42	3
s	43	5
s	44	1
s	45	3
s	46	7
s	47	2
s	48	9
s	49	9
s	50	2
s	51	8
s	52	7
s	53	9
s	54	5
s	55	1
s	56	8
s	57	4
s	58	10
s	59	5
s	60	10
s	61	2
s	62	3
s	63	10
s	64	3
s	65	1
s	66	9
s	67	6
s	68	7
s	69	7
s	70	2
s	71	3
s	72	8
s	73	3
s	74	4
s	75	6
s	76	9
s	77	5
s	78	9
s	79	7
s	80	4
s	81	7
s	82	4
s	83	7
s	84	1
s	85	5
s	86	6
s	87	7
s	88	3
s	89	3
s	90	2
s	91	5
s	92	1
s	93	1
s	94	4
s	95	3
s	96	2
s	97	1
s	98	4
s	99	3
s	100	8
p	1	14
p	2	6
p	3	12
p	4	5
p	5	7
p	6	20
p	7	17
p	8	16
p	9	20
p	10	6
p	11	11
p	12	17
p	13	20
p	14	10
p	15	16
p	16	5
p	17	20
p	18	9
p	19	20
p	20	6
p	21	17
p	22	17
p	23	11
p	24	12
p	25	16
p	26	12
p	27	12
p	28	11
p	29	5
p	30	6
p	31	13
p	32	5
p	33	10
p	34	17
p	35	16
p	36	7
p	37	13
p	38	19
p	39	8
p	40	19
p	41	14
p	42	19
p	43	8
p	44	19
p	45	15
p	46	19
p	47	5
p	48	6
p	49	20
p	50	19
p	51	13
p	52	13
p	53	18
p	54	11
p	55	15
p	56	20
p	57	6
p	58	19
p	59	17
p	60	15
p	61	13
p	62	15
p	63	10
p	64	8
p	65	17
p	66	16
p	67	11
p	68	5
p	69	20
p	70	6
p	71	6
p	72	7
p	73	9
p	74	13
p	75	16
p	76	8
p	77	6
p	78	16
p	79	12
p	80	10
p	81	16
p	82	9
p	83	6
p	84	15
p	85	17
p	86	16
p	87	14
p	88	6
p	89	13
p	90	18
p	91	17
p	92	20
p	93	15
p	94	15
p	95	12
p	96	20
p	97	12
p	98	9
p	99	17
p	100	11
